stage,method,formal_seed,epsilon,hit,hit_iteration,hit_depth,hit_work,hit_epsilon,max_depth,max_work
formal,NOG-FO-NONOPT,626,0.05,True,192.0,194.0,1552.0,0.02900570072233677,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.03,True,192.0,194.0,1552.0,0.02900570072233677,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.02,True,216.0,218.0,1744.0,0.015756551176309586,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.015,True,240.0,242.0,1936.0,0.012554706074297428,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.01,False,,,,0.0179295651614666,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.009,False,,,,0.0179295651614666,962.0,7696.0
formal,NOG-FO-NONOPT,626,0.008,False,,,,0.0179295651614666,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.2,True,72.0,74.0,592.0,0.1957450658082962,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.1,True,144.0,146.0,1168.0,0.08008809387683868,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.05,True,192.0,194.0,1552.0,0.02964734472334385,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.03,True,192.0,194.0,1552.0,0.02964734472334385,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.02,True,240.0,242.0,1936.0,0.011474169790744781,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.015,True,240.0,242.0,1936.0,0.011474169790744781,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.01,False,,,,0.01293324027210474,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.009,False,,,,0.01293324027210474,962.0,7696.0
formal,NOG-FO-NONOPT,627,0.008,False,,,,0.01293324027210474,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.2,True,72.0,74.0,592.0,0.19632890820503235,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.1,True,144.0,146.0,1168.0,0.0817035660147667,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.05,True,192.0,194.0,1552.0,0.035604022443294525,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.03,True,216.0,218.0,1744.0,0.024997346103191376,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.02,True,240.0,242.0,1936.0,0.014028259553015232,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.015,True,240.0,242.0,1936.0,0.014028259553015232,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.01,False,,,,0.014277922920882702,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.009,False,,,,0.014277922920882702,962.0,7696.0
formal,NOG-FO-NONOPT,628,0.008,False,,,,0.014277922920882702,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.2,True,72.0,74.0,592.0,0.19749660789966583,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.1,True,144.0,146.0,1168.0,0.08169670403003693,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.05,True,192.0,194.0,1552.0,0.029173512011766434,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.03,True,192.0,194.0,1552.0,0.029173512011766434,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.02,True,216.0,218.0,1744.0,0.017428092658519745,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.015,True,336.0,338.0,2704.0,0.01420044619590044,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.01,False,,,,0.012121862731873989,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.009,False,,,,0.012121862731873989,962.0,7696.0
formal,NOG-FO-NONOPT,629,0.008,False,,,,0.012121862731873989,962.0,7696.0
