method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,first_hit_stat_proxy,censor_depth,censor_work,capped_depth,capped_work
NOG-ZO,3,0.06,True,208.0,212992.0,0.0568428449332714,960.0,983040.0,208.0,212992.0
NOG-ZO,3,0.05,True,216.0,221184.0,0.0453707948327064,960.0,983040.0,216.0,221184.0
NOG-ZO,3,0.04,True,220.0,225280.0,0.0396071039140224,960.0,983040.0,220.0,225280.0
NOG-ZO,3,0.03,True,228.0,233472.0,0.0289374031126499,960.0,983040.0,228.0,233472.0
NOG-ZO,3,0.025,True,232.0,237568.0,0.0233437586575746,960.0,983040.0,232.0,237568.0
NOG-ZO,3,0.02,True,236.0,241664.0,0.0188394114375114,960.0,983040.0,236.0,241664.0
NOG-ZO,3,0.018,True,240.0,245760.0,0.0156320817768573,960.0,983040.0,240.0,245760.0
NOG-ZO,3,0.016,True,240.0,245760.0,0.0156320817768573,960.0,983040.0,240.0,245760.0
NOG-ZO,3,0.015,True,244.0,249856.0,0.0132242124527692,960.0,983040.0,244.0,249856.0
NOG-ZO,3,0.014,True,244.0,249856.0,0.0132242124527692,960.0,983040.0,244.0,249856.0
NOG-ZO,3,0.013,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.012,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.0115,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.011,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.01075,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.0105,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.01025,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.01,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.0095,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.009,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.008,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.007,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.006,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.005,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.004,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.003,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,3,0.002,False,,,,960.0,983040.0,960.0,983040.0
NOG-ZO,4,0.2,True,100.0,102400.0,0.1997750252485275,960.0,983040.0,100.0,102400.0
NOG-ZO,4,0.18,True,120.0,122880.0,0.1783243715763092,960.0,983040.0,120.0,122880.0
NOG-ZO,4,0.16,True,136.0,139264.0,0.1591343581676483,960.0,983040.0,136.0,139264.0
NOG-ZO,4,0.14,True,152.0,155648.0,0.1380426287651062,960.0,983040.0,152.0,155648.0
NOG-ZO,4,0.12,True,168.0,172032.0,0.1155793741345405,960.0,983040.0,168.0,172032.0
NOG-ZO,4,0.1,True,180.0,184320.0,0.098724216222763,960.0,983040.0,180.0,184320.0
NOG-ZO,4,0.09,True,188.0,192512.0,0.0871926322579383,960.0,983040.0,188.0,192512.0
NOG-ZO,4,0.08,True,196.0,200704.0,0.0756475776433944,960.0,983040.0,196.0,200704.0
NOG-ZO,4,0.07,True,200.0,204800.0,0.0698355808854103,960.0,983040.0,200.0,204800.0
NOG-ZO,4,0.06,True,208.0,212992.0,0.0589878112077713,960.0,983040.0,208.0,212992.0
