dimension,baseline,ratio_direction,epsilon,scope,paired_hits,total_seeds,complete_pairing,paired_seeds,mean_depth_ratio,sd_depth_ratio,depth_ratio_ci_low,depth_ratio_ci_high,mean_work_ratio,sd_work_ratio,work_ratio_ci_low,work_ratio_ci_high
100,DGFM+,DGFM+/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",11.3870538415003,2.5118728015252727,10.321474591651542,12.531915456745311,1.5140350877192983,0.3337207461428542,1.3720428293254687,1.6596523602918936
100,DGFM+,DGFM+/NOG-ZO,0.02,descriptive,0,20,False,,,,,,,,,
100,DGFM+,DGFM+/NOG-ZO,0.018,descriptive,0,20,False,,,,,,,,,
100,DGFM+,DGFM+/NOG-ZO,0.016,descriptive,0,20,False,,,,,,,,,
100,DGFM+,DGFM+/NOG-ZO,0.015,descriptive,0,20,False,,,,,,,,,
100,DGFM+,DGFM+/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
200,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.5776881720430103,0.06640021136263866,2.549992319508448,2.60564708141321,0.6444220430107526,0.016600052840659664,0.6368848406298002,0.6515562596006143
200,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",2.9501696065128895,0.08008951150034845,2.91617961329715,2.984192672998643,0.7375424016282224,0.02002237787508711,0.7296048168249661,0.7459892299864314
200,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",3.526868834490318,0.1421730033194739,3.4658238947753013,3.5859133403361345,0.8817172086225795,0.03554325082986848,0.8669154583028864,0.8964714673913043
200,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.018,descriptive,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19",3.89204609809889,0.3065180506353494,3.773485455064482,4.034369259032457,0.9730115245247225,0.07662951265883736,0.9430986145707194,1.0093893020594966
200,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.016,descriptive,0,20,False,,,,,,,,,
200,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.015,descriptive,0,20,False,,,,,,,,,
200,ME-DOL-ZO,ME-DOL-ZO/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
200,DGFM,DGFM/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",5.555248335893497,0.13532370927935664,5.498638632872503,5.612331029185868,0.6944060419866871,0.01691546365991958,0.6877163338453662,0.7021924603174603
200,DGFM,DGFM/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.669018543645409,0.2016065966103512,6.588744346449571,6.758261533242877,0.8336273179556761,0.0252008245762939,0.8228809786295793,0.8441204488919041
200,DGFM,DGFM/NOG-ZO,0.02,descriptive,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",7.947214103032517,0.3184204784863673,7.816235629034222,8.090460799537205,0.9934017628790647,0.03980255981079591,0.9770247990500548,1.0100338988856412
200,DGFM,DGFM/NOG-ZO,0.018,descriptive,19,20,False,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19",8.481458391846118,0.3788979988170819,8.313404646030264,8.652481532981259,1.0601822989807648,0.04736224985213524,1.0396699773392453,1.0800602307590779
200,DGFM,DGFM/NOG-ZO,0.016,descriptive,0,20,False,,,,,,,,,
200,DGFM,DGFM/NOG-ZO,0.015,descriptive,0,20,False,,,,,,,,,
200,DGFM,DGFM/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
200,DGFM+,DGFM+/NOG-ZO,0.05,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",6.117229902713773,0.26847229000680967,6.002206861239119,6.233797363031234,0.8138568868407579,0.0357306197913245,0.7984950436827957,0.8294954677099334
200,DGFM+,DGFM+/NOG-ZO,0.03,primary,20,20,True,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19",9.789348710990502,1.3615525624975373,9.249975124378109,10.413791270918137,1.3016049016282225,0.180898572010993,1.2344775589382633,1.3833978014755768
200,DGFM+,DGFM+/NOG-ZO,0.02,descriptive,0,20,False,,,,,,,,,
200,DGFM+,DGFM+/NOG-ZO,0.018,descriptive,0,20,False,,,,,,,,,
200,DGFM+,DGFM+/NOG-ZO,0.016,descriptive,0,20,False,,,,,,,,,
200,DGFM+,DGFM+/NOG-ZO,0.015,descriptive,0,20,False,,,,,,,,,
200,DGFM+,DGFM+/NOG-ZO,0.01,descriptive,0,20,False,,,,,,,,,
