dataset,method,formal_seed,epsilon,hit,first_hit_depth,first_hit_work,hit_epsilon,capped_depth,capped_work,stage
synthetic_maxsinl1,current_NOG-nonopt,725,0.01,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.0095,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.009,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.008,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.007,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.006,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.005,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.004,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.003,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,725,0.002,False,,,0.02783317119,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.2,True,100,102400,0.1977607459,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.18,True,116,118784,0.1799676865,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.16,True,132,135168,0.1598707139,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.14,True,148,151552,0.1389964968,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.12,True,164,167936,0.1154742166,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.1,True,176,180224,0.09845780581,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.09,True,184,188416,0.08651348948,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.08,True,192,196608,0.0746197924,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.07,True,196,200704,0.06891414523,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.06,True,204,208896,0.05715178698,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.05,True,212,217088,0.04538654536,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.04,True,216,221184,0.03964400664,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.03,True,224,229376,0.02906956524,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.025,True,228,233472,0.02427964285,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.02,True,236,241664,0.01692305133,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.018,True,236,241664,0.01692305133,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.016,True,240,245760,0.01535276975,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.015,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.014,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.013,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.012,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.0115,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.011,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.01075,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.0105,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.01025,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.01,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.0095,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.009,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.008,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.007,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.006,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.005,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.004,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.003,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,726,0.002,False,,,0.02931028605,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.2,True,100,102400,0.1975570023,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.18,True,116,118784,0.1794415265,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.16,True,132,135168,0.1593069732,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.14,True,148,151552,0.137190938,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.12,True,164,167936,0.1146746576,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.1,True,176,180224,0.09693598747,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.09,True,184,188416,0.08489924669,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.08,True,188,192512,0.07811313123,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.07,True,196,200704,0.06690564007,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.06,True,204,208896,0.05489558354,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.05,True,208,212992,0.04906972125,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.04,True,216,221184,0.03645290434,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.03,True,224,229376,0.02535511181,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.025,True,228,233472,0.02072661743,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.02,True,232,237568,0.01652354375,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.018,True,232,237568,0.01652354375,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.016,True,236,241664,0.01371613983,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.015,True,236,241664,0.01371613983,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.014,True,236,241664,0.01371613983,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.013,False,,,0.02960195951,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.012,False,,,0.02960195951,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.0115,False,,,0.02960195951,960,983040,formal
synthetic_maxsinl1,current_NOG-nonopt,727,0.011,False,,,0.02960195951,960,983040,formal
